ID,ModelName,GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],FileDataID,ObjectEffectPackageID,OverrideLootEffectScale,OverrideNameScale,Field_1_15_4_56400_006
1,World\Generic\ActiveDoodads\Chest02\Chest02.mdx,-0.26073328,-0.4512289,0.0074184677,0.26061738,0.44935983,0.6864136,196979,0,0,0,0
2,World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx,-0.32545474,-0.33729443,0.0014874487,0.3507911,0.31053096,0.99064606,199426,0,0,0,0
3,World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx,-5.3587046,-6.2068734,-0.018553602,7.331823,6.69399,14.530236,190175,0,0,0,0
4,World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx,-0.3198101,-0.9863999,0.004529507,1.0944186,0.9939026,2.8029408,198634,0,0,0,0
5,World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx,-0.765514,-1.65267,-0.301772,0.0522625,1.62819,4.43292,200640,0,0,0,0
6,World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx,-4.303809,-5.1949854,-1.0001191,4.28994,4.9612637,12.124715,189908,0,0,0,0
7,World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx,-0.26655567,-0.26455313,0.002714246,0.25674373,0.26863176,0.65079683,189821,0,0,0,0
8,World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx,-0.3052422,-0.6988019,-0.0059837545,0.3033076,0.690087,0.46764046,198238,0,0,0,0
9,World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx,-1.23473,-0.580022,-0.0352144,0.428828,0.815667,1.01848,199567,0,0,0,0
10,World\Generic\ActiveDoodads\Chest01\Chest01.mdx,-0.39367023,-0.5908163,0.012198171,0.39355436,0.58895504,0.63073164,196976,0,0,0,0
11,World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx,-1.6327695,-0.5471354,-0.21628433,1.4697015,0.56848955,1.0122514,198445,0,0,0,0
12,World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx,-0.11186711,-0.35378963,-0.2988583,0.11960421,0.386132,2.008659,189541,0,0,0,0
13,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX,0,0,0,0,0,0,197807,0,0,0,0
14,World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx,-1.1866013,-1.1098127,-0.34885368,0.80661875,0.9310319,1.1826123,198343,0,0,0,0
15,WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX,0,0,0,0,0,0,199424,0,0,0,0
17,World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx,-0.21421577,-0.5067237,-1.652187,0.11620189,0.5224805,2.4974272,199421,0,0,0,0
18,World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx,-0.42892313,-0.7637713,0.0033449298,0.42892313,0.7640065,0.5033449,190543,0,0,0,0
19,World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx,-0.21944447,-0.5083334,-0.14763239,0.21944447,0.5083334,1.4261128,189534,0,0,0,0
20,World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx,-1.6928806,-1.0636394,-0.010464747,1.6928806,1.0042584,0.6669194,189528,0,0,0,0
21,World\Generic\Orc\Passive Doodads\Jars\JarOrc02.mdx,-0.207901,-0.244864,0,0.207059,0.234291,0.550981,199180,0,0,0,0
22,World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerWorn01.mdx,0.41762933,-0.9848747,2.660958,0.6507019,1.2925855,3.518984,198479,0,0,0,0
25,World\Generic\PassiveDoodads\BindStone\NewBindStone.mdx,-2.0301125,-3.055414,-0.23933427,2.5925093,3.023229,9.040523,199571,0,0,0,0
26,World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerNice01.mdx,-0.09028915,-0.8076245,3.4631574,0.0902899,0.8648584,3.9073818,198478,0,0,0,0
27,World\Generic\Human\Passive Doodads\SignPosts\StoneSignPointer01.mdx,-0.16612008,-0.8465595,2.8460808,0.16611663,1.409833,3.9066548,198476,0,0,0,0
28,World\Generic\ActiveDoodads\Bushes\BerryBush01.mdx,-1.4279913,-1.9914178,-0.55691016,1.4365703,1.5392828,2.2626545,196975,0,0,0,0
30,World\Generic\Human\Passive Doodads\GunShop\GunShopPowderKegOpen.mdx,-0.3558932,-0.34772417,-0.0003886499,0.35538518,0.36983815,1.09105,198280,0,0,0,0
31,World\Generic\Human\Passive Doodads\Crates\StormwindCrate01.mdx,-0.6157037,-0.66195375,0,0.6157037,0.66195375,1.24297,198168,0,0,0,0
32,World\Generic\PassiveDoodads\Barrel\Barrel01.mdx,-0.430319,-0.46780607,0.00010408446,0.42883322,0.5242575,0.99206364,199563,0,0,0,0
33,World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKeg01.mdx,-0.3087367,-0.36066118,-0.0012088743,0.30960143,0.3533341,0.9676722,197463,0,0,0,0
